player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year
Caleb Farley,61803,CB,TEN,1,1,,1.0,31,0,39.6,0,1,0,0,0,0.0,1,2022
Darius Harris,29188,LB,KC,1,5,,5.0,16,0,39.6,0,1,0,0,0,0.0,1,2022
Trevon Diggs,41817,CB,DAL,1,4,,4.0,9,0,39.6,0,1,0,0,0,0.0,1,2022
Jonathan Owens,66930,S,HST,1,4,,4.0,13,0,39.6,0,1,0,0,0,0.0,1,2022
Cory Littleton,11190,LB,CAR,1,2,,2.0,5,0,39.6,0,1,0,0,0,0.0,1,2022
Anthony Brown,10823,CB,DAL,1,5,,5.0,9,0,39.6,0,1,0,0,0,0.0,1,2022
Kyzir White,44485,LB,PHI,1,2,,2.0,24,0,39.6,0,1,0,0,0,0.0,1,2022
Carlton Davis,49335,CB,TB,1,1,,1.0,30,0,39.6,0,1,0,0,0,0.0,1,2022
Kader Kohou,156070,CB,MIA,1,11,,11.0,17,0,39.6,0,1,0,0,0,0.0,1,2022
DeShon Elliott,28854,S,DET,1,6,,6.0,11,0,39.6,0,1,0,0,0,0.0,1,2022
Anthony Barr,8644,LB,DAL,1,4,,4.0,9,0,39.6,0,1,0,0,0,0.0,1,2022
Lavonte David,7060,LB,TB,1,2,,2.0,30,0,39.6,0,1,0,0,0,0.0,1,2022
Kevin Pierre-Louis,8767,LB,HST,1,1,,1.0,13,0,39.6,0,1,0,0,0,0.0,1,2022
Jaquan Brisker,101665,S,CHI,1,3,,3.0,6,0,39.6,0,1,0,0,0,0.0,1,2022
Amani Hooker,51378,S,TEN,1,3,,3.0,31,1,0.0,0,1,0,0,0,0.0,1,2022
Shaq Thompson,9458,LB,CAR,1,3,,3.0,5,0,39.6,0,1,0,0,0,0.0,1,2022
Eric Kendricks,9478,LB,MIN,1,14,,14.0,18,0,39.6,0,1,0,0,0,0.0,1,2022
Sauce Gardner,100903,CB,NYJ,1,4,,4.0,22,0,39.6,0,1,0,0,0,0.0,1,2022
Myles Hartsfield,49159,S,CAR,1,9,,9.0,5,0,39.6,0,1,0,0,0,0.0,1,2022
Talanoa Hufanga,83903,S,SF,1,3,,3.0,28,0,39.6,0,1,0,0,0,0.0,1,2022
Shaquill Griffin,11845,CB,JAX,1,4,,4.0,15,0,39.6,0,1,0,0,0,0.0,1,2022
Tre Flowers,49059,CB,CIN,1,2,,1.0,7,0,39.6,0,2,0,0,0,0.0,1,2022
Stephon Gilmore,7016,CB,IND,1,1,,1.0,14,0,39.6,0,1,0,0,0,0.0,1,2022
Nick Scott,49012,S,LA,1,6,,6.0,26,0,39.6,0,1,0,0,0,0.0,1,2022
Marcus Maye,11794,S,NO,1,3,,3.0,20,0,39.6,0,1,0,0,0,0.0,1,2022
Adoree' Jackson,11773,CB,NYG,1,3,,3.0,21,0,39.6,0,1,0,0,0,0.0,1,2022
Haason Reddick,11768,ED,PHI,1,2,,2.0,24,0,39.6,0,1,0,0,0,0.0,1,2022
Rasul Douglas,11854,CB,GB,1,20,20.0,20.0,12,0,112.5,1,1,0,11,5,0.55,1,2022
Terrell Edmunds,51334,S,PIT,1,19,19.0,19.0,25,0,118.8,1,1,0,22,0,1.16,1,2022
Nate Hobbs,55948,CB,LV,1,19,19.0,9.5,23,0,56.3,1,2,0,5,1,0.26,1,2022
Cameron Sutton,11850,CB,PIT,1,18,18.0,6.0,25,1,42.4,1,3,1,2,0,0.11,1,2022
Arthur Maulet,12224,CB,PIT,1,35,17.5,8.8,25,0,65.6,2,4,0,21,17,0.6,1,2022
Isaiah Simmons,42451,LB,ARZ,1,17,17.0,17.0,1,0,118.8,1,1,0,18,7,1.06,1,2022
Bobby McCain,9578,S,WAS,1,16,16.0,16.0,32,0,79.2,1,1,0,3,0,0.19,1,2022
Bryce Callahan,10000,CB,LAC,1,31,15.5,5.2,27,1,2.8,2,6,0,16,7,0.52,1,2022
Chuck Clark,11941,S,BLT,1,15,15.0,7.5,3,0,60.4,1,2,0,8,12,0.53,1,2022
Justin Evans,11805,S,NO,1,15,15.0,3.8,20,0,39.6,1,4,0,5,7,0.33,1,2022
Marlon Humphrey,11771,CB,BLT,1,26,13.0,6.5,3,0,64.6,2,4,0,20,1,0.77,1,2022
Benjamin St-Juste,56061,CB,WAS,1,37,12.3,7.4,32,0,75.4,3,5,0,28,24,0.76,1,2022
Matt Milano,11918,LB,BUF,1,12,12.0,12.0,4,0,83.3,1,1,0,4,1,0.33,1,2022
Chandon Sullivan,49349,CB,MIN,1,34,11.3,8.5,18,0,101.0,3,4,0,35,36,1.03,1,2022
