player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,week,year
Robbie Gould,2607,K,SF,1,0,0,0,,0,0,,28,61.8,0,0,,1,1,100.0,0,0,0,,1,1,100.0,1,1,100.0,1,2022
Matt Prater,3471,K,ARZ,1,0,0,0,,0,0,,1,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,1,2022
Nick Folk,3794,K,NE,1,0,0,0,,0,0,,19,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,1,2022
Mason Crosby,3809,K,GB,1,0,0,0,,0,0,,12,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,1,2022
Ryan Succop,5180,K,TB,1,0,0,0,,2,2,100.0,30,55.4,0,0,,1,1,100.0,0,2,1,50.0,5,4,80.0,1,1,100.0,1,2022
Graham Gano,5443,K,NYG,1,0,0,0,,0,0,,21,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,1,2022
Randy Bullock,7154,K,TEN,1,0,0,0,,2,1,50.0,31,45.6,0,0,,2,2,100.0,0,0,0,,3,2,66.7,1,1,100.0,1,2022
Greg Zuerlein,7163,K,NYJ,1,0,0,0,,2,1,50.0,22,32.2,0,0,,1,0,0.0,0,0,0,,2,1,50.0,0,0,,1,2022
Justin Tucker,7604,K,BLT,1,0,0,0,,0,0,,3,63.9,0,0,,3,3,100.0,0,0,0,,1,1,100.0,1,1,100.0,1,2022
Dustin Hopkins,7958,K,LAC,1,0,0,0,,2,1,50.0,27,54.0,0,0,,3,3,100.0,0,0,0,,2,1,50.0,0,0,,1,2022
Brandon McManus,8437,K,DEN,1,0,1,0,0.0,1,1,100.0,10,64.8,0,0,,1,1,100.0,0,1,1,100.0,4,3,75.0,1,1,100.0,1,2022
Brett Maher,8585,K,DAL,1,0,1,1,100.0,0,0,,9,61.9,0,0,,0,0,,0,0,0,,1,1,100.0,0,0,,1,2022
Cairo Santos,8932,K,CHI,1,0,0,0,,0,0,,6,26.4,0,0,,3,1,33.3,0,0,0,,0,0,,0,0,,1,2022
Chris Boswell,8990,K,PIT,1,0,2,1,50.0,1,1,100.0,25,63.6,0,0,,2,2,100.0,0,0,0,,4,3,75.0,1,1,100.0,1,2022
Jason Myers,10207,K,SEA,1,0,0,0,,1,1,100.0,29,67.2,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,,1,2022
Wil Lutz,11096,K,NO,1,0,1,1,100.0,2,1,50.0,20,65.8,0,0,,1,1,100.0,0,0,0,,3,2,66.7,0,0,,1,2022
Ka'imi Fairbairn,11161,K,HST,1,0,0,0,,2,2,100.0,13,68.7,0,0,,2,2,100.0,0,0,0,,2,2,100.0,0,0,,1,2022
Jake Elliott,11908,K,PHI,1,0,0,0,,0,0,,24,65.3,0,0,,5,5,100.0,0,0,0,,1,1,100.0,1,1,100.0,1,2022
Harrison Butker,11988,K,KC,1,0,1,1,100.0,0,0,,16,69.7,0,0,,4,4,100.0,0,0,0,,1,1,100.0,0,0,,1,2022
Younghoe Koo,12042,K,ATL,1,0,3,2,66.7,1,1,100.0,2,74.4,0,0,,2,2,100.0,0,0,0,,5,4,80.0,1,1,100.0,1,2022
Austin Seibert,13701,K,DET,1,0,0,0,,0,0,,11,65.3,0,0,,5,5,100.0,0,0,0,,0,0,,0,0,,1,2022
Greg Joseph,22842,K,MIN,1,0,1,1,100.0,0,0,,18,73.9,0,0,,2,2,100.0,0,0,0,,3,3,100.0,2,2,100.0,1,2022
