player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception,week,year
Calais Campbell,4364,DI,BLT,1,3,0,3,0,,,12.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,8,0,0,0,0,0,0,0.0,,0,0,,,10.5,,,0,0,,60.4,0,,,0,0,0.0,0,2,66.7,19,1,0,0,0,0,0,0.0,,1,2022
Kareem Jackson,5545,S,DEN,1,35,0,10,0,,,100.0,,,0,0,,34.4,0,,,0,0,0.0,0,7,20.0,7,0,0,0,0,0,0,0.0,,0,0,13.0,100.0,100.0,12.0,12.0,0,0,0.0,50.7,0,17.0,0.0,0,0,118.8,1,13,37.1,13,0,1,1,0,17,4,1.4,17.0,1,2022
Devin McCourty,5552,S,NE,1,37,0,19,0,,,100.0,,,0,0,,65.8,0,,0.0,0,0,0.0,0,12,32.4,12,0,2,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,66.1,0,,0.0,0,0,0.0,0,24,64.9,24,0,3,0,0,0,0,0.0,,1,2022
Jerry Hughes,5556,ED,HST,1,1,0,13,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,1,0,0,0,0,0,,,0,0,,,3.3,,,0,0,,68.2,1,,50.0,1,0,0.0,0,1,100.0,30,2,1,0,0,0,0,0.0,,1,2022
Carlos Dunlap,5579,ED,KC,1,1,0,16,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,1,0,0,0,0,0,,,0,0,8.0,100.0,7.7,1.0,1.0,0,0,0.0,57.5,0,8.0,0.0,0,0,100.0,1,1,100.0,13,0,1,1,0,8,0,8.0,8.0,1,2022
Von Miller,6154,ED,BUF,1,1,0,4,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,4.5,,,0,0,,75.7,0,,0.0,0,0,0.0,0,1,100.0,22,3,1,0,0,0,0,0.0,,1,2022
Patrick Peterson,6157,CB,MIN,1,43,0,18,0,,,100.0,,,0,0,,61.5,0,,,0,0,0.0,0,2,4.7,2,0,0,0,0,0,0,0.0,,0,0,19.0,33.3,100.0,23.0,7.7,0,0,0.0,41.0,0,17.0,0.0,0,0,53.5,1,23,53.5,23,0,1,3,0,17,5,0.7,17.0,1,2022
Robert Quinn,6166,ED,CHI,1,1,0,6,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,4.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,23,0,0,0,0,0,0,0.0,,1,2022
Justin Houston,6222,ED,BLT,1,1,0,3,0,,,8.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,12,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,28,1,1,0,0,0,0,,,1,2022
Josh Bynes,6503,LB,BLT,1,18,0,3,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,5.6,2,0,0,0,0,0,0,0.0,,0,0,4.0,50.0,100.0,15.0,7.5,0,0,0.0,47.2,0,13.0,100.0,1,0,70.8,1,15,83.3,15,0,0,2,0,13,9,0.9,13.0,1,2022
Stephon Gilmore,7016,CB,IND,1,43,0,14,0,15.5,0.0,100.0,,3.0,0,0,0.0,77.1,0,,,0,0,39.6,0,7,16.3,7,0,0,2,0,0,0,0.0,,0,0,8.0,66.7,100.0,8.5,5.7,0,1,16.7,66.1,0,14.0,25.0,1,0,80.6,4,35,81.4,35,0,3,6,0,33,7,1.0,8.3,1,2022
Melvin Ingram III,7024,ED,MIA,1,10,0,17,0,,,16.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,10.0,6,0,0,0,0,0,0,,,0,0,-3.0,100.0,58.3,7.0,7.0,0,0,0.0,77.0,0,-3.0,0.0,0,0,79.2,1,7,70.0,12,1,1,1,0,-3,0,-0.4,-3.0,1,2022
Chandler Jones,7027,ED,LV,1,2,0,23,0,,,8.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,12,0,0,0,0,0,0,0.0,,0,0,,,5.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,18,0,0,0,0,0,0,0.0,,1,2022
Bobby Wagner,7050,LB,LA,1,33,0,26,0,5.0,100.0,25.0,1.0,1.0,0,0,0.0,51.2,0,8.0,0.0,0,0,100.0,1,1,3.0,4,0,1,1,0,8,3,8.0,8.0,0,0,-4.0,100.0,92.3,12.0,12.0,0,0,0.0,64.1,0,6.0,0.0,0,0,87.5,2,24,72.7,26,2,2,2,0,10,18,0.4,5.0,1,2022
Lavonte David,7060,LB,TB,1,44,0,30,0,,,88.9,,,0,0,,65.4,0,,,0,0,0.0,0,8,18.2,9,0,0,0,0,0,0,0.0,,0,1,4.3,100.0,85.7,9.0,9.0,0,1,33.3,85.1,0,13.0,0.0,0,1,87.5,3,30,68.2,35,1,3,3,0,15,2,0.6,5.0,1,2022
Casey Hayward Jr.,7064,CB,ATL,1,40,0,2,0,22.5,50.0,100.0,14.0,7.0,0,0,0.0,45.2,0,40.0,,0,0,95.8,1,16,40.0,16,0,0,2,0,40,3,2.9,40.0,0,1,20.5,50.0,100.0,22.0,11.0,0,0,0.0,56.7,0,31.0,33.3,1,0,95.8,1,22,55.0,22,0,1,2,0,31,10,1.4,31.0,1,2022
Demario Davis,7079,LB,NO,1,39,0,20,0,,,100.0,,,0,0,,64.2,0,,,0,0,0.0,0,5,12.8,5,0,0,0,0,0,0,0.0,,0,0,7.0,33.3,100.0,28.0,9.3,0,1,33.3,67.7,0,10.0,0.0,0,0,43.8,1,29,74.4,29,0,1,3,0,10,6,0.4,10.0,1,2022
Rodney McLeod,7271,S,IND,1,1,0,14,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,,1,2022
Tashaun Gipson Sr.,7288,S,SF,1,24,0,28,0,10.0,0.0,100.0,,3.0,1,0,0.0,75.7,0,,,0,0,39.6,0,3,12.5,3,0,0,1,0,0,0,0.0,,0,0,,,100.0,,,0,0,,63.7,0,,0.0,0,0,0.0,0,17,70.8,17,0,1,0,0,0,0,0.0,,1,2022
Harrison Smith,7641,S,MIN,1,43,0,18,0,,,100.0,,,0,0,,60.7,0,,,0,0,0.0,0,2,4.7,2,0,0,0,0,0,0,0.0,,0,0,14.0,75.0,100.0,7.7,5.8,0,0,0.0,90.0,1,15.0,0.0,0,0,52.1,3,23,53.5,23,1,4,4,0,26,12,1.1,8.7,1,2022
Darius Slay,7817,CB,PHI,1,41,0,24,0,14.3,33.3,100.0,10.0,3.3,0,0,0.0,64.3,0,22.0,,0,0,100.0,1,11,26.8,11,0,0,3,1,22,0,2.2,22.0,0,0,14.8,33.3,100.0,14.5,4.8,1,0,0.0,76.3,0,29.0,0.0,0,0,52.8,2,30,73.2,30,1,3,6,0,33,12,1.1,16.5,1,2022
Tyrann Mathieu,7850,S,NO,1,39,0,20,0,,,100.0,,,0,0,,62.4,0,,,0,0,0.0,0,5,12.8,5,0,0,0,0,0,0,0.0,,0,1,5.7,66.7,100.0,14.0,9.3,0,0,0.0,77.2,0,5.0,0.0,0,0,70.1,2,29,74.4,29,1,2,3,0,6,5,0.2,3.0,1,2022
Logan Ryan,7864,S,TB,1,45,0,30,1,16.0,100.0,100.0,6.0,6.0,0,0,0.0,45.1,0,17.0,0.0,0,0,118.8,1,7,15.6,7,0,0,1,0,17,1,2.8,17.0,0,0,16.0,100.0,100.0,29.0,29.0,0,0,0.0,58.2,0,16.0,0.0,0,0,118.8,1,32,71.1,32,1,2,1,0,16,0,0.6,16.0,1,2022
Duron Harmon,7872,S,LV,1,22,0,23,0,,,100.0,,,0,0,,63.4,0,,0.0,0,0,0.0,0,10,45.5,10,0,1,0,0,0,0,0.0,,0,0,3.0,100.0,100.0,11.0,11.0,0,0,0.0,64.5,0,10.0,0.0,0,0,108.3,1,11,50.0,11,1,1,1,0,10,7,0.9,10.0,1,2022
William Gholston,7908,DI,TB,1,1,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,5,0,0,0,0,0,0,,,0,0,,,12.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,8,0,0,0,0,0,0,0.0,,1,2022
Steven Means,7929,ED,BLT,1,1,0,3,0,,,25.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,4,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,,1,2022
Micah Hyde,7941,S,BUF,1,49,0,4,0,,,100.0,,,0,0,,60.4,0,,,0,0,0.0,0,3,6.1,3,0,0,0,0,0,0,0.0,,0,2,0.5,100.0,100.0,19.5,19.5,0,0,0.0,75.4,0,6.0,0.0,0,0,81.3,2,39,79.6,39,1,3,2,0,7,6,0.2,3.5,1,2022
Jordan Poyer,8000,S,BUF,1,49,0,4,0,,,100.0,,,0,0,,61.5,0,,,0,0,0.0,0,3,6.1,3,0,0,0,0,0,0,0.0,,0,0,6.0,100.0,100.0,39.0,39.0,0,0,0.0,68.3,1,6.0,0.0,0,0,52.1,1,39,79.6,39,1,1,1,0,6,0,0.2,6.0,1,2022
Tony Jefferson,8361,S,NYG,1,7,0,21,0,,,25.0,,,0,0,,61.4,0,,,0,0,0.0,0,2,28.6,8,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,62.9,0,,,0,0,0.0,0,3,42.9,3,0,0,0,0,0,0,0.0,,1,2022
Jadeveon Clowney,8636,ED,CLV,1,1,0,8,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,6,0,0,0,0,0,0,,,0,0,-6.0,100.0,5.6,1.0,1.0,0,0,0.0,60.0,0,21.0,,0,0,118.8,1,1,100.0,18,0,0,1,0,21,27,21.0,21.0,1,2022
Khalil Mack,8640,ED,LAC,1,5,0,27,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,6,0,0,0,0,0,0,,,0,0,,,22.7,,,0,0,,62.7,0,,,0,0,0.0,0,5,100.0,22,1,0,0,0,0,0,0.0,,1,2022
Anthony Barr,8644,LB,DAL,1,16,0,9,0,5.0,0.0,80.0,,4.0,0,0,0.0,45.7,0,,,0,0,39.6,0,4,25.0,5,0,0,1,0,0,0,0.0,,0,0,2.0,100.0,100.0,10.0,10.0,0,0,0.0,65.4,0,6.0,0.0,0,0,91.7,1,10,62.5,10,1,1,1,0,6,4,0.6,6.0,1,2022
Kyle Fuller,8649,CB,BLT,1,61,0,3,0,12.0,50.0,100.0,13.0,6.5,0,0,0.0,51.8,0,7.0,0.0,0,0,58.3,1,15,24.6,15,0,1,2,0,7,0,0.5,7.0,0,0,9.0,66.7,97.4,18.5,12.3,0,0,0.0,63.9,0,12.0,0.0,0,0,79.9,2,37,60.7,38,0,1,3,0,16,0,0.4,8.0,1,2022
C.J. Mosley,8652,LB,NYJ,1,32,0,22,0,,,50.0,,,0,0,,62.6,0,,,0,0,0.0,0,3,9.4,6,0,0,0,0,0,0,0.0,,0,2,3.4,80.0,100.0,6.5,5.2,0,0,0.0,55.7,0,15.0,16.7,1,0,98.3,4,27,84.4,27,2,3,5,0,38,26,1.5,9.5,1,2022
Bradley Roby,8666,CB,NO,1,39,0,20,0,9.0,100.0,100.0,2.5,2.5,0,0,0.0,35.1,0,18.0,0.0,0,0,118.8,2,5,12.8,5,0,1,2,0,27,9,5.4,13.5,0,0,12.0,66.7,100.0,7.0,4.7,0,1,16.7,57.6,0,15.0,0.0,0,1,87.5,4,29,74.4,29,1,4,6,0,43,1,1.5,10.8,1,2022
Demarcus Lawrence,8669,ED,DAL,1,2,0,9,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,,0,0,,,13.3,,,0,0,,60.1,0,,,0,0,0.0,0,2,100.0,15,0,0,0,0,0,0,0.0,,1,2022
